2018/04/21 18:05:15 log_test.go:15: [INFO] Info
2018/04/21 18:05:15 log_test.go:16: [ERROR] Error
2018/04/21 18:05:15 log_test.go:17: [DEBUG] Debug
2018/04/21 18:05:15 log_test.go:18: [WARN] Warn
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
2018/04/21 18:05:15 log_test.go:22: [INFO] info loop
